                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 0.7783,                0.63979,                 1.0051,                0.91506,                0.97222,                0.97987,                0.68768,                 0.9956,                0.61159,                 1.1595,             0.00056938,             0.00056938,             0.00056938
                     57,                0.83364,                0.64852,                 1.0559,                0.95536,                0.95254,                0.98053,                0.70303,                 0.9766,                0.59795,                  1.152,               0.000557,               0.000557,               0.000557
                     58,                0.81693,                0.63967,                 1.0273,                0.96533,                0.94444,                0.98212,                0.68647,                 0.9817,                0.58903,                 1.1617,             0.00054463,             0.00054463,             0.00054463
                     59,                0.83493,                0.63057,                 1.0209,                0.96683,                0.94444,                 0.9895,                0.69721,                 1.0056,                0.56935,                 1.1917,             0.00053225,             0.00053225,             0.00053225
                     60,                 0.8494,                0.64735,                  1.047,                0.99454,                0.98873,                  0.995,                0.69838,                  1.032,                0.56024,                 1.2111,             0.00051988,             0.00051988,             0.00051988
                     61,                0.80721,                0.61862,                 1.0129,                0.98909,                0.96793,                0.99225,                0.68683,                 1.0572,                0.56382,                 1.2109,              0.0005075,              0.0005075,              0.0005075
                     62,                0.78321,                0.60207,                  1.008,                0.96242,                0.98701,                0.99406,                 0.6851,                 1.0473,                0.56487,                  1.206,             0.00049513,             0.00049513,             0.00049513
                     63,                0.77294,                0.59309,                 1.0004,                0.93964,                0.98506,                0.99406,                0.68948,                 1.0227,                0.57604,                 1.1899,             0.00048275,             0.00048275,             0.00048275
                     64,                0.79532,                0.59311,                 1.0025,                0.93478,                0.95404,                0.99406,                0.68586,                0.98214,                0.57292,                 1.1571,             0.00047038,             0.00047038,             0.00047038
                     65,                0.78371,                0.57984,                0.99417,                0.91665,                0.96851,                 0.9875,                0.68216,                 1.0058,                0.58947,                  1.165,               0.000458,               0.000458,               0.000458
                     66,                 0.7753,                0.62255,                 1.0144,                0.93195,                0.97222,                0.98636,                0.67829,                 1.0255,                0.60368,                 1.1928,             0.00044563,             0.00044563,             0.00044563
                     67,                0.80784,                  0.608,                 1.0279,                0.97649,                0.96297,                0.98654,                0.67998,                 1.0201,                0.59382,                 1.1959,             0.00043325,             0.00043325,             0.00043325
                     68,                0.81594,                 0.6145,                 1.0292,                0.94977,                0.97931,                  0.995,                0.69389,                0.99346,                0.56661,                  1.163,             0.00042087,             0.00042087,             0.00042087
                     69,                0.75983,                0.60295,                 0.9893,                0.96012,                0.95167,                0.99406,                0.70947,                0.99045,                 0.5535,                 1.1606,              0.0004085,              0.0004085,              0.0004085
                     70,                 0.7284,                0.57964,                0.99017,                0.94318,                0.98751,                  0.995,                0.70205,                0.98639,                0.55137,                 1.1538,             0.00039613,             0.00039613,             0.00039613
                     71,                0.75654,                0.57447,                0.99487,                0.92997,                0.99404,                  0.995,                0.70478,                0.99043,                0.54527,                 1.1565,             0.00038375,             0.00038375,             0.00038375
                     72,                0.75489,                0.55814,                0.99975,                0.94745,                0.97759,                  0.995,                0.70394,                0.98159,                0.53061,                 1.1485,             0.00037138,             0.00037138,             0.00037138
                     73,                0.72123,                0.54621,                0.97724,                0.92739,                0.99392,                  0.995,                0.69476,                0.99293,                0.52856,                   1.15,               0.000359,               0.000359,               0.000359
                     74,                0.71234,                0.53508,                0.96622,                0.92572,                0.99508,                  0.995,                0.69545,                0.99449,                0.52853,                  1.151,             0.00034663,             0.00034663,             0.00034663
                     75,                0.78407,                0.59898,                 1.0162,                0.92439,                0.99019,                0.99225,                0.69797,                0.98299,                0.53862,                 1.1414,             0.00033425,             0.00033425,             0.00033425
                     76,                0.73578,                0.58361,                 1.0116,                0.95099,                0.97094,                0.98813,                 0.7023,                0.97697,                0.57031,                 1.1515,             0.00032188,             0.00032188,             0.00032188
                     77,                 0.7282,                0.53993,                0.98162,                0.95454,                0.97024,                  0.984,                0.69632,                0.97546,                0.58362,                 1.1636,              0.0003095,              0.0003095,              0.0003095
                     78,                0.76455,                0.59193,                 1.0276,                0.95772,                0.97163,                0.97437,                0.69977,                0.98277,                0.58666,                 1.1748,             0.00029713,             0.00029713,             0.00029713
                     79,                 0.7318,                0.53337,                0.99098,                0.95647,                0.97204,                0.97427,                0.69354,                0.99313,                0.58963,                 1.1838,             0.00028475,             0.00028475,             0.00028475
                     80,                0.73641,                0.58067,                0.99088,                0.94641,                0.97053,                0.97392,                0.68097,                 1.0072,                0.58825,                 1.1895,             0.00027237,             0.00027237,             0.00027237
                     81,                0.72768,                0.56769,                0.99932,                0.94203,                0.96343,                0.97506,                0.68438,                 1.0028,                0.57323,                   1.19,                0.00026,                0.00026,                0.00026
                     82,                0.73531,                0.53565,                0.99038,                0.94407,                0.95255,                 0.9785,                0.69064,                0.99067,                0.55753,                 1.1788,             0.00024762,             0.00024762,             0.00024762
                     83,                0.71228,                0.55935,                0.97521,                0.94866,                0.94655,                0.98379,                0.70637,                0.98218,                0.53986,                 1.1726,             0.00023525,             0.00023525,             0.00023525
                     84,                0.65914,                0.51316,                0.96872,                0.95671,                0.94444,                0.98725,                0.71785,                0.97262,                0.52979,                 1.1662,             0.00022288,             0.00022288,             0.00022288
                     85,                0.68026,                0.52069,                0.95635,                0.96034,                0.94444,                0.98725,                0.71567,                0.97287,                0.52958,                 1.1712,              0.0002105,              0.0002105,              0.0002105
                     86,                0.75005,                0.55561,                 1.0016,                0.96601,                0.94444,                 0.9895,                0.70599,                0.97801,                0.53972,                 1.1798,             0.00019813,             0.00019813,             0.00019813
                     87,                0.69878,                0.54238,                0.99381,                0.94014,                0.98871,                0.99225,                0.69414,                0.99012,                0.53902,                 1.1809,             0.00018575,             0.00018575,             0.00018575
                     88,                0.67358,                0.51343,                0.99221,                0.94616,                0.99222,                0.99225,                0.70017,                  1.001,                0.53847,                 1.1809,             0.00017338,             0.00017338,             0.00017338
                     89,                0.69022,                0.52098,                0.99359,                0.94633,                 0.9941,                0.99225,                0.70265,                 1.0037,                0.53446,                 1.1808,               0.000161,               0.000161,               0.000161
                     90,                 0.7052,                0.52477,                0.97148,                0.91568,                0.99605,                 0.9895,                0.70513,                 1.0093,                 0.5332,                 1.1739,             0.00014862,             0.00014862,             0.00014862
                     91,                0.65264,                0.52711,                0.94585,                0.91458,                0.99931,                 0.9895,                0.71271,                0.99789,                0.52607,                 1.1614,             0.00013625,             0.00013625,             0.00013625
                     92,                0.66769,                0.52997,                0.97171,                0.94831,                      1,                0.99225,                0.72093,                 0.9853,                0.50179,                 1.1591,             0.00012387,             0.00012387,             0.00012387
                     93,                 0.6506,                0.51476,                0.96906,                0.95056,                      1,                  0.995,                0.72226,                 0.9806,                0.49355,                  1.161,              0.0001115,              0.0001115,              0.0001115
                     94,                0.62748,                0.48462,                0.93336,                0.95656,                      1,                  0.995,                0.72442,                0.97776,                0.49969,                  1.166,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.61354,                0.48716,                0.92878,                0.96341,                 0.9924,                  0.995,                0.72665,                0.97311,                0.49822,                 1.1655,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.60199,                0.48934,                0.93811,                0.97841,                0.98558,                  0.995,                0.71198,                0.95852,                0.49927,                 1.1671,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.60164,                 0.4839,                0.92609,                 0.9791,                0.98847,                  0.995,                 0.7135,                0.95266,                0.50086,                 1.1658,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.62563,                0.50637,                0.94549,                0.98015,                0.98788,                  0.995,                0.71546,                0.95053,                0.49914,                 1.1667,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.63487,                0.48023,                0.94929,                0.98093,                0.99061,                  0.995,                 0.7165,                0.94771,                0.49727,                  1.166,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.59291,                0.47396,                0.92732,                0.98276,                0.99224,                  0.995,                0.71075,                0.94414,                0.49601,                 1.1639,             2.4875e-05,             2.4875e-05,             2.4875e-05
